代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400191,粤泰3,0.10,0.10,0.10,0.10,8258,825.8,11.11,26242,35153,253624787,253624787
400192,宋都5,0.21,0.21,0.21,0.21,1800,378.0,0.0,36033,11607,155433665,281425688
400193,嘉凯城3,0.06,0.06,0.06,0.06,46283,2776.98,0.0,288271,297740,108251490,108251490
400194,R蓝盾1,0.06,0.06,0.06,0.06,179408,10764.48,0.0,245102,216875,118969188,74992756
400195,泰禾3,0.06,0.06,0.06,0.06,35835,2150.1,0.0,202453,247643,149101551,149334086
400196,R紫鑫1,0.12,0.12,0.12,0.12,21249,2549.88,0.0,6959,77631,133449635,153691179
400197,天润3,0.11,0.11,0.11,0.11,6713,738.43,0.0,10983,26459,92019242,166160173
400199,阳光城3,0.06,0.06,0.06,0.06,43036,2582.16,0.0,308688,421551,245954190,248422977
400200,R弘高1,0.09,0.09,0.09,0.09,11141,1002.69,0.0,11272,22140,37302657,92322047
400201,海投5,0.47,0.47,0.47,0.47,13221,6213.87,-2.08,11348,9735,670313758,672210180
400202,R经纬1,5.42,5.42,5.42,5.42,59,319.78,4.84,37,34,1591742446,3816384600
400204,柏龙3,0.11,0.11,0.11,0.11,113080,12438.8,10.0,14015,2381,47667629,59178802
400205,泛海3,0.12,0.12,0.12,0.12,39391,4726.92,0.0,36031,68376,299328484,623544079
400206,R爱迪1,0.07,0.07,0.07,0.07,13321,932.47,0.0,19663,29455,26498586,31784275
400208,金鹤5,0.24,0.24,0.24,0.24,30355,7285.2,0.0,39328,18131,296484998,377161286
400209,新海宜3,0.10,0.10,0.10,0.10,10807,1080.7,11.11,46797,81313,112692970,137466962
400210,博天5,0.57,0.57,0.57,0.57,1688,962.16,3.64,3534,135,478881352,550500757
400211,R星源1,0.15,0.15,0.15,0.15,6187,928.05,0.0,1036,44757,132460976,158780526
400212,民生5,0.82,0.82,0.82,0.82,4602,3773.64,-4.65,0,749,436134625,436134625
400213,R美盛1,0.19,0.19,0.19,0.19,33566,6377.54,-5.0,0,15836,167070269,172818818
400214,世茂3,0.24,0.24,0.24,0.24,2677,642.48,0.0,4271,27389,258523773,900280383
400215,商业城5,3.24,3.24,3.24,3.24,2562,8300.88,4.85,62,3987,1214816934,1388060061
400216,中资5,0.38,0.38,0.38,0.38,835,317.3,0.0,46054,4667,131100000,131100000
400217,正源3,0.10,0.10,0.10,0.10,11954,1195.4,0.0,39988,17953,151031188,151055000
400219,碳元5,0.37,0.37,0.37,0.37,3422,1266.14,2.78,5036,0,63562553,77398524
400220,同达5,2.82,2.82,2.82,2.82,1541,4345.62,1.81,43,380,392384811,392384811
400221,太安堂3,0.22,0.22,0.22,0.22,6861,1509.42,4.76,9894,0,164671480,168690104
400222,R园城1,0.14,0.14,0.14,0.14,3758,526.12,-6.67,0,147212,26327196,31391755
400224,苏阳光5,0.19,0.19,0.19,0.19,4810,913.9,0.0,55407,23529,219461186,338834662
400225,中南3,0.09,0.09,0.09,0.09,23728,2135.52,0.0,37499,70807,342786328,344390301
400226,R易连1,0.14,0.14,0.14,0.14,2858,400.12,0.0,18135,47102,74873879,93653430
400227,利能5,0.69,0.69,0.69,0.69,88788,61263.72,4.55,2334,31967,1340775580,2456829314
